vendor,cve,kev_date_added,kev_due_date,published,tte_days,cvss,cvss_severity,cwe,cwe_name,epss,percentile,ransomware,attack_techniques,pre_auth,eol_at_kev_date,in_exploitdb,has_nuclei_template,public_exploit,remediation_window_days,cisa_emergency
SonicWall,CVE-2019-7481,2021-11-03,2022-05-03,2019-12-17,687,7.5,HIGH,CWE-89,Improper Neutralization of Special Elements used in an SQL Command,0.99906,0.99964,Known,T1190;T1133,true,false,false,true,true,181,false
SonicWall,CVE-2021-20016,2021-11-03,2021-11-17,2021-02-03,273,9.8,CRITICAL,CWE-89,Improper Neutralization of Special Elements used in an SQL Command,0.40038,0.9845,Known,T1190;T1133,true,false,false,false,false,14,false
SonicWall,CVE-2021-20038,2022-01-28,2022-02-11,2021-12-08,51,9.8,CRITICAL,CWE-121,Stack-based Buffer Overflow,0.99912,0.99965,Known,T1190;T1133,true,false,false,true,true,14,false
SonicWall,CVE-2020-5135,2022-03-15,2022-04-05,2020-10-12,519,9.8,CRITICAL,CWE-120,Buffer Copy without Checking Size of Input,0.26869,0.97781,Unknown,T1190,false,false,false,false,false,21,false
SonicWall,CVE-2021-20028,2022-03-28,2022-04-18,2021-08-04,236,9.8,CRITICAL,CWE-89,Improper Neutralization of Special Elements used in an SQL Command,0.30084,0.97976,Known,T1190;T1133,false,false,false,false,false,21,false
SonicWall,CVE-2019-7483,2022-03-28,2022-04-18,2019-12-19,830,7.5,HIGH,CWE-22,Path Traversal,0.03977,0.89148,Unknown,T1190;T1552;T1133,true,false,false,false,false,21,false
SonicWall,CVE-2024-40766,2024-09-09,2024-09-30,2024-08-23,17,9.3,CRITICAL,CWE-284,Improper Access Control,0.15694,0.96436,Known,T1190;T1078,false,false,false,false,false,21,false
SonicWall,CVE-2025-23006,2025-01-24,2025-02-14,2025-01-23,1,9.8,CRITICAL,CWE-502,Deserialization of Untrusted Data,0.22252,0.97379,Known,T1190;T1133,true,false,false,false,false,21,false
SonicWall,CVE-2024-53704,2025-02-18,2025-03-11,2025-01-09,40,8.2,HIGH,CWE-287,Improper Authentication,0.95132,0.99854,Known,T1190;T1078;T1133,true,false,false,true,true,21,false
SonicWall,CVE-2021-20035,2025-04-16,2025-05-07,2021-09-27,1297,6.5,MEDIUM,CWE-78,Improper Neutralization of Special Elements used in an OS Command,0.0389,0.88885,Unknown,T1190;T1133,false,false,false,false,false,21,false
SonicWall,CVE-2023-44221,2025-05-01,2025-05-22,2023-12-05,513,7.2,HIGH,CWE-78,Improper Neutralization of Special Elements used in an OS Command,0.75103,0.99448,Unknown,T1190;T1133,false,false,false,false,false,21,false
SonicWall,CVE-2025-40602,2025-12-17,2025-12-24,2025-12-18,-1,6.6,MEDIUM,CWE-862,Missing Authorization,0.0191,0.77115,Unknown,T1190;T1078;T1133,false,false,false,false,false,7,true
Ivanti,CVE-2021-22893,2021-11-03,2022-05-03,2021-04-23,194,10,CRITICAL,CWE-287,Improper Authentication,0.47172,0.98688,Known,T1190;T1078;T1133,true,false,false,false,false,181,false
Ivanti,CVE-2020-8243,2021-11-03,2022-05-03,2020-09-29,400,7.2,HIGH,CWE-94,Improper Control of Generation of Code,0.90759,0.99792,Unknown,T1190;T1133,false,false,false,false,false,181,false
Ivanti,CVE-2021-22900,2021-11-03,2022-05-03,2021-05-27,160,7.2,HIGH,CWE-94,Improper Control of Generation of Code,0.14146,0.96109,Unknown,T1190;T1133,false,false,false,false,false,181,false
Ivanti,CVE-2021-22894,2021-11-03,2022-05-03,2021-05-27,160,8.8,HIGH,CWE-94,Improper Control of Generation of Code,0.41284,0.98492,Unknown,T1190;T1133,false,false,false,false,false,181,false
Ivanti,CVE-2020-8260,2021-11-03,2022-05-03,2020-10-28,371,7.2,HIGH,CWE-434,Unrestricted Upload of File with Dangerous Type,0.9648,0.99874,Unknown,T1190;T1505.003;T1133,false,false,false,false,false,181,false
